Unique ID	Parent	taxonomy type	Name	Tier 1	Tier 2	Tier 3	Tier 4	Extension	Podcast Genres	CTV Genres	condensed_name_full
150		content	Attractions	Attractions							Attractions | Attractions |  |  |  |
151	150	content	Amusement and Theme Parks	Attractions	Amusement and Theme Parks						Amusement and Theme Parks | Attractions | Amusement and Theme Parks |  |  |
179	150	content	Bars & Restaurants	Attractions	Bars & Restaurants						Bars & Restaurants | Attractions | Bars & Restaurants |  |  |
181	150	content	Casinos & Gambling	Attractions	Casinos & Gambling						Casinos & Gambling | Attractions | Casinos & Gambling |  |  |
153	150	content	Historic Site and Landmark Tours	Attractions	Historic Site and Landmark Tours						Historic Site and Landmark Tours | Attractions | Historic Site and Landmark Tours |  |  |
154	150	content	Malls & Shopping Centers	Attractions	Malls & Shopping Centers						Malls & Shopping Centers | Attractions | Malls & Shopping Centers |  |  |
155	150	content	Museums & Galleries	Attractions	Museums & Galleries						Museums & Galleries | Attractions | Museums & Galleries |  |  |
158	150	content	Nightclubs	Attractions	Nightclubs						Nightclubs | Attractions | Nightclubs |  |  |
159	150	content	Outdoor Activities	Attractions	Outdoor Activities					Outdoors	Outdoor Activities | Attractions | Outdoor Activities |  |  |  | Outdoors
160	150	content	Parks & Nature	Attractions	Parks & Nature						Parks & Nature | Attractions | Parks & Nature |  |  |
177	150	content	Theater Venues	Attractions	Theater Venues						Theater Venues | Attractions | Theater Venues |  |  |
178	150	content	Zoos & Aquariums	Attractions	Zoos & Aquariums						Zoos & Aquariums | Attractions | Zoos & Aquariums |  |  |
1		content	Automotive	Automotive					Automotive	Automotive	Automotive | Automotive |  |  |  | Automotive | Automotive
2	1	content	Auto Body Styles	Automotive	Auto Body Styles						Auto Body Styles | Automotive | Auto Body Styles |  |  |
3	2	content	Commercial Trucks	Automotive	Auto Body Styles	Commercial Trucks					Commercial Trucks | Automotive | Auto Body Styles | Commercial Trucks |  |
8	2	content	Convertible	Automotive	Auto Body Styles	Convertible					Convertible | Automotive | Auto Body Styles | Convertible |  |
9	2	content	Coupe	Automotive	Auto Body Styles	Coupe					Coupe | Automotive | Auto Body Styles | Coupe |  |
10	2	content	Crossover	Automotive	Auto Body Styles	Crossover					Crossover | Automotive | Auto Body Styles | Crossover |  |
11	2	content	Hatchback	Automotive	Auto Body Styles	Hatchback					Hatchback | Automotive | Auto Body Styles | Hatchback |  |
12	2	content	Microcar	Automotive	Auto Body Styles	Microcar					Microcar | Automotive | Auto Body Styles | Microcar |  |
13	2	content	Minivan	Automotive	Auto Body Styles	Minivan					Minivan | Automotive | Auto Body Styles | Minivan |  |
14	2	content	Off-Road Vehicles	Automotive	Auto Body Styles	Off-Road Vehicles					Off-Road Vehicles | Automotive | Auto Body Styles | Off-Road Vehicles |  |
15	2	content	Pickup Trucks	Automotive	Auto Body Styles	Pickup Trucks					Pickup Trucks | Automotive | Auto Body Styles | Pickup Trucks |  |
4	2	content	Sedan	Automotive	Auto Body Styles	Sedan					Sedan | Automotive | Auto Body Styles | Sedan |  |
5	2	content	Station Wagon	Automotive	Auto Body Styles	Station Wagon					Station Wagon | Automotive | Auto Body Styles | Station Wagon |  |
6	2	content	SUV	Automotive	Auto Body Styles	SUV					SUV | Automotive | Auto Body Styles | SUV |  |
7	2	content	Van	Automotive	Auto Body Styles	Van					Van | Automotive | Auto Body Styles | Van |  |
30	1	content	Auto Buying and Selling	Automotive	Auto Buying and Selling						Auto Buying and Selling | Automotive | Auto Buying and Selling |  |  |
31	1	content	Auto Insurance	Automotive	Auto Insurance						Auto Insurance | Automotive | Auto Insurance |  |  |
32	1	content	Auto Parts	Automotive	Auto Parts						Auto Parts | Automotive | Auto Parts |  |  |
33	1	content	Auto Recalls	Automotive	Auto Recalls						Auto Recalls | Automotive | Auto Recalls |  |  |
41	1	content	Auto Rentals	Automotive	Auto Rentals						Auto Rentals | Automotive | Auto Rentals |  |  |
34	1	content	Auto Repair	Automotive	Auto Repair						Auto Repair | Automotive | Auto Repair |  |  |
35	1	content	Auto Safety	Automotive	Auto Safety						Auto Safety | Automotive | Auto Safety |  |  |
36	1	content	Auto Shows	Automotive	Auto Shows						Auto Shows | Automotive | Auto Shows |  |  |
37	1	content	Auto Technology	Automotive	Auto Technology						Auto Technology | Automotive | Auto Technology |  |  |
38	37	content	Auto Infotainment Technologies	Automotive	Auto Technology	Auto Infotainment Technologies					Auto Infotainment Technologies | Automotive | Auto Technology | Auto Infotainment Technologies |  |
39	37	content	Auto Navigation Systems	Automotive	Auto Technology	Auto Navigation Systems					Auto Navigation Systems | Automotive | Auto Technology | Auto Navigation Systems |  |
40	37	content	Auto Safety Technologies	Automotive	Auto Technology	Auto Safety Technologies					Auto Safety Technologies | Automotive | Auto Technology | Auto Safety Technologies |  |
16	1	content	Auto Type	Automotive	Auto Type						Auto Type | Automotive | Auto Type |  |  |
17	16	content	Budget Cars	Automotive	Auto Type	Budget Cars					Budget Cars | Automotive | Auto Type | Budget Cars |  |
18	16	content	Certified Pre-Owned Cars	Automotive	Auto Type	Certified Pre-Owned Cars					Certified Pre-Owned Cars | Automotive | Auto Type | Certified Pre-Owned Cars |  |
19	16	content	Classic Cars	Automotive	Auto Type	Classic Cars					Classic Cars | Automotive | Auto Type | Classic Cars |  |
20	16	content	Concept Cars	Automotive	Auto Type	Concept Cars					Concept Cars | Automotive | Auto Type | Concept Cars |  |
21	16	content	Driverless Cars	Automotive	Auto Type	Driverless Cars					Driverless Cars | Automotive | Auto Type | Driverless Cars |  |
22	16	content	Green Vehicles	Automotive	Auto Type	Green Vehicles					Green Vehicles | Automotive | Auto Type | Green Vehicles |  |
23	16	content	Luxury Cars	Automotive	Auto Type	Luxury Cars					Luxury Cars | Automotive | Auto Type | Luxury Cars |  |
24	16	content	Performance Cars	Automotive	Auto Type	Performance Cars					Performance Cars | Automotive | Auto Type | Performance Cars |  |
25	1	content	Car Culture	Automotive	Car Culture						Car Culture | Automotive | Car Culture |  |  |
